403 2200 Douglas Road	"$399,900"	0	1	Built in 2011 (9 yrs old)	"$1,127"	$219	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	Inside Unit	R2523058	Leo Bruneau PREC*	RE/MAX All Points Realty	18 Days on REW	Smoke Alarm	"Central Location, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Bike Room, Elevator, Exercise Centre, Garden, Guest Suite, Storage"								
2003 4425 Halifax Street	"$825,000"	2	2	Built in 2000 (20 yrs old)	"$2,353"	$503	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"	R2522304	Sean Kaushakis PREC*	Keller Williams Realty VanCentral	21 Days on REW	Fireplace Insert	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, Elevator, Exercise Centre, In Suite Laundry, Sauna/Steam Room, Swirlpool/Hot Tub"	1							
2703 4888 Brentwood Drive	"$775,000"	2	2	Built in 2008 (12 yrs old)	"$2,225"	$387	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"	R2521443	Vince Chan PREC*	RE/MAX Crest Realty	26 Days on REW	"Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Club House, Elevator, Exercise Centre, Independent living, Swirlpool/Hot Tub"	1								
4202 2008 Rosser Avenue	"$1,750,000"	3	3	Built in 2015 (5 yrs old)	"$5,049"	$882	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"	R2490881	Geoff Jarman PREC*	Sutton Group-West Coast Realty	27 Days on REW	"Air Conditioning, Drapes/window Coverings, Garage Door Opener, Oven - Built In, Wine Cooler"	"Central Location, Recreation Nearby, Shopping Nearby"	"Clothes Washer/Dryer, Dishwasher, Microwave, Range Top, Refrigerator"	"Club House, Concierge, Exercise Centre, Guest Suite, In Suite Laundry, Recreation Center"	Yes							
1503 2355 Madison Avenue	"$689,000"	2	2	Built in 2007 (13 yrs old)	"$2,082"	$415	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"	R2520824	Brandon Gee-Moore PREC*	RE/MAX Crest Realty	28 Days on REW	Cul-de-Sac	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Club House, Elevator, Exercise Centre, In Suite Laundry, Indoor Pool, Sauna/Steam Room"	1							
222 2088 Beta Avenue	"$574,900"	1	1	Built in 2009 (11 yrs old)	"$1,578"	$227	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	1 Storey	R2520760	Tara Caldwell PREC*	RE/MAX All Points Realty	28 Days on REW	"Drapes/window Coverings, Fireplace Insert, Garage Door Opener, Sprinkler - Fire, Windows - Thermo"	"Central Location, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Elevator, In Suite Laundry, Storage, Wheelchair Access"	1							
105 2378 Alpha Avenue	"$999,900"	2	2	Built in 2018 (2 yrs old)	"$3,180"	$721	Burnaby North	Brentwood Park	Townhouse	Freehold Strata	3 Storey w/Bsmt.	R2520569	Ken Leong PREC*	Oakwyn Realty Downtown Ltd.	Mary Porohowski	Oakwyn Realty Downtown Ltd.	Liana Fung	Oakwyn Realty Downtown Ltd.	31 Days on REW	"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire"	"Air Conditioning, Central Location, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Central Airconditioning, Club House, Concierge, Exercise Centre, Guest Suite, Swirlpool/Hot Tub"	Yes			
1703 2133 Douglas Road	"$725,000"	2	2	Built in 2010 (10 yrs old)	"$2,183"	$364	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"	R2516885	Vince Chan PREC*	RE/MAX Crest Realty	46 Days on REW	"Drapes/window Coverings, Garage Door Opener, Smoke Alarm, Sprinkler - Fire"	"Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby"	"Microwave, Washer/Dryer/Fridge/Stove/Dishwasher"	"Club House, Elevator, Exercise Centre, Garden"	1							
103 2088 Madison Avenue	"$749,900"	2	1	Built in 2004 (16 yrs old)	"$1,889"	$257	Burnaby North	Brentwood Park	Apt/Condo	Freehold Strata	1 Storey	R2514036	Lee Bryant PREC*	Oakwyn Realty Ltd.	Pete Shpak PREC*	Oakwyn Realty Ltd.	56 Days on REW	"Central Location, Golf Course Nearby, Recreation Nearby, Shopping Nearby"	Washer/Dryer/Fridge/Stove/Dishwasher	"Bike Room, Elevator, Exercise Centre, In Suite Laundry, Sauna/Steam Room, Swirlpool/Hot Tub"							
78 5932 Hastings Street	"$359,000"	2	1	Built in 1970 (50 yrs old)	$0	$359	Burnaby North	Capitol Hill	Apt/Condo	Undivided Interest	1 Storey	R2521079	Tracy Niu PREC*	Nu Stream Realty Inc.	25 Days on REW	Oven - Built In	Swimming Pool Equipment	Freezer	"Garden, Indoor Pool, Playground, Restaurant, Shared Laundry"								
