10395 Steveston Highway,"$2,066,670",3,3,55 ft x 150 ft (8267 ft²),Built in 1984 (36 yrs old),"$4,004",Gilmore,House,Freehold NonStrata,2 Storey,150,55.00 feet,R2516954,Chris Stylianou PREC*,Macdonald Realty Westmar,Cormac Brennan,Macdonald Realty Westmar,Jim Van Der Tas,Macdonald Realty Westmar,46 Days on REW,1,,,,,
10411 Steveston Highway,"$2,782,250",7,4,75 ft x 150 ft (11130 ft²),Built in 1920 (100 yrs old),"$5,997",Gilmore,House,Freehold NonStrata,2 Storey w/Bsmt.,150,75.00 feet,R2514721,Chris Stylianou PREC*,Macdonald Realty Westmar,Cormac Brennan,Macdonald Realty Westmar,Jim Van Der Tas,Macdonald Realty Westmar,54 Days on REW,1,,,,,
12351 Gilbert Road,"$5,998,000",9,7,0 ft x 0 ft (5.0 acres),Built in 1991 (29 yrs old),"$3,366",Gilmore,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2510520,Melissa Wu PREC*,eXp Realty,69 Days on REW,"Drapes/window Coverings, Garage Door Opener, Gated Complex, Hot Tub Spa/swirlpool, Private Setting, Private Yard","In Suite Laundry, Shopping Nearby, Swirlpool/hot Tub, Workshop Detached",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,
7680 Steveston Highway,"$3,199,000",6,8,74 ft x 173 ft (12702 ft²),Built in 2020 (0 yrs old),"$2,999",Gilmore,House,Freehold NonStrata,2 Storey,Heat Recovery Ventilator,173,74.00 feet,R2482684,Crystal Wang PREC*,Sutton Group - 1st West Realty,144 Days on REW,"Central Location, Cul-de-Sac, Drapes/window Coverings, Fireplace Insert, Garden, Heat Recovery Ventilator, Intercom, Oven - Built In, Private Setting, Private Yard, Security System, Sprinkler - Fire","Central Air Conditioning, Shopping Nearby","In Suite Laundry, Range Top, Refrigerator, Washer/Dryer/Fridge/Stove/Dishwasher",2,Yes,,,,
6240 Steveston Highway,"$2,999,000",5,3,0 ft x 0 ft (2.83 acres),Built in 1980 (40 yrs old),$532,Gilmore,House,Freehold NonStrata,2 Storey,0,0.00 feet,R2510505,Berry Muis PREC*,RE/MAX Westcoast,69 Days on REW,"Central Location, Paved Road",Shopping Nearby,"Refrigerator, Stove",2,,,,,,
12551 Gilbert Road,"$5,399,968",4,0,202 ft x 1075 ft (5.01 acres),Built in 1989 (31 yrs old),"$8,482",Gilmore,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,1075,202.80 feet,R2475524,Randy Lim,RE/MAX Select Properties,167 Days on REW,"Barn, Garden, Guest Suite, In Suite Laundry, Storage",1,,,,,,,,
13251 Gilbert Road,"$5,880,000",3,2,464 ft x 1053 ft (12.0 acres),Built in 1970 (50 yrs old),"$1,261",Gilmore,House,Freehold NonStrata,1 Storey,1053.24 AVG,464.80 feet,R2385727,Raymond Yeung,Multiple Realty Ltd.,178 Days on REW,Private Yard,Shopping Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,1,,,,,,
1051 Wellington Crescent,"$1,899,000",4,4,49 ft x 98 ft (5887 ft²),Built in 2019 (1 yrs old),"$4,957",Sea Island,House,Freehold NonStrata,2 Storey,98.85,49.90 feet,R2516489,Karen Zhao PREC*,RE/MAX Crest Realty,48 Days on REW,Central Location,Shopping Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,
2120 Anson Avenue,"$1,888,000",5,4,50 ft x 112 ft (5670 ft²),Built in 2011 (9 yrs old),"$4,064",Sea Island,House,Freehold NonStrata,3 Storey,112,50.00 feet,R2518540,Tony Tao PREC*,Royal Pacific Realty Corp.,25 Days on REW,"Central Location, Security System, Smoke Alarm","Marina Nearby, Recreation Nearby",Washer/Dryer/Fridge/Stove/Dishwasher,2,,,,,,
2120 Handley Avenue,"$1,088,000",6,2,50 ft x 110 ft (5518 ft²),Built in 1944 (76 yrs old),"$2,722",Sea Island,House,Freehold NonStrata,2 Storey,110,50.00 feet,R2514758,Eric Sun PREC*,Sutton Group-West Coast Realty,54 Days on REW,"Central Location, Lane Access",Recreation Nearby,Washer/Dryer/Fridge/Stove/Dishwasher,,,,,,,
